Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year
10016,Main Street Bank,Northville,MI,2008-10-10,Northville,MI,2008-10-10,396815,214220.0,77462.0,0.3616002240687144,0.084,2010
10015,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,2008-09-25,Henderson,NV,2008-09-25,60958,,,,,2010
10014,Ameribank,Northfork,WV,2008-09-19,Northfork,WV,2008-09-19,9125,3513.0,3029.0,0.8622260176487333,0.63,2010
10013,Silver State Bank,Henderson,NV,2008-09-05,Henderson,NV,2008-09-05,669,260.0,195.0,0.75,0.049,2010
10012,Integrity Bank,Alpharetta,GA,2008-08-29,Alpharetta,GA,2008-08-29,19813,,,,,2010
10011,Columbian Bank & Trust,Topeka,KS,2008-08-22,Topeka,KS,2008-08-22,9253,,,,,2010
10010,First Priority Bank,Bradenton,FL,2008-08-01,Bradenton,FL,2008-08-01,9222,,,,,2010
10009,"First Heritage Bank, NA",Newport Beach,CA,2008-07-25,Newport Beach,CA,2008-07-25,89803,39484.0,18694.0,0.4734576030797285,0.033,2010
10008,First National Bank of Nevada,Reno,NV,2008-07-25,Reno,NV,2008-07-25,305704,153756.0,66693.0,0.43375868258799655,0.078,2010
10007,IndyMac Bank,Pasadena,CA,2008-07-11,Pasadena,CA,2008-07-11,153888,66647.0,37402.0,0.561195552688043,0.045,2010
10006,"First Integrity Bank, NA",Staples,MN,2008-05-30,Staples,MN,2008-05-30,2379,950.0,619.0,0.651578947368421,0.116,2010
10005,"ANB Financial, NA",Bentonville,AR,2008-05-09,Bentonville,AR,2008-05-09,2099451,,,,,2010
10004,Hume Bank,Hume,MO,2008-03-07,Hume,MO,2008-03-07,4396,,,,,2010
10003,Douglass National Bank,Kansas City,MO,2008-01-25,Kansas City,MO,2008-01-25,3560,,,,,2010
4659,Farmers Bank of Cheneyville,Cheneyville,LA,2002-12-17,Cheneyville,LA,2002-12-17,790390,354988.0,145720.0,0.4104927490506721,0.06,2000
